Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Answer,image,FAQ-1D,FAQ 2D category,Product,Pricing-section,FAQ-main-section,Contact-section,FAQ-sub-section,Order
Can I assign policy report recipients to team members or external auditors?,assign-policy-report-recipients-cloud-compliance,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,681b3e3352bffeb3859beff4,false,false,Wed May 07 2025 11:04:19 GMT+0000 (Coordinated Universal Time),Wed May 07 2025 11:04:19 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes. With OpsNow’s Policy Management feature, you can freely assign policy report recipients—including internal team members, department leads, or external compliance auditors—directly from the Settings menu.</p><p id="""">Relying on a single person to receive all compliance reports can lead to delayed responses or bottlenecks in your governance process. For better alignment, it’s critical to tailor the distribution of reports to specific roles or teams, such as DevOps, Security, or Compliance, and also involve third-party reviewers when needed.</p><p id="""">Using the Settings interface, you can:</p><ul id=""""><li>Add or update email recipients for each policy report</li><li>Create custom recipient groups based on accounts, policy types, or compliance standards</li><li>Allow recipients to access reports via email without needing an OpsNow account</li><li>Ensure immediate application of recipient changes to the next scheduled report</li></ul><p id="""">📌 This capability empowers organizations to decentralize compliance oversight, improve collaboration with external stakeholders, and ensure timely visibility into policy violations.<br>‍</p><h3 id="""">✅ Summary:</h3><ul id=""""><li>Add multiple internal and external recipients to policy reports</li><li>Customize recipient lists by policy type, team, or account</li><li>Reports are delivered via email—no login required</li><li>Supports collaborative governance and audit preparedness</li></ul><p>‍</p>",,OpsNow FinOps Plus,policy-management,opsnow-finops-plus,false,false,false,false,
Can I automatically send budget reports by team or department?,budget-report-auto-send-by-department,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,68183928883fd20923712133,false,false,Mon May 05 2025 04:06:00 GMT+0000 (Coordinated Universal Time),Mon May 05 2025 04:06:00 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, OpsNow FinOps Plus supports automatic email delivery of budget reports organized by team or department.</p><p id="""">✅ What is the Budget Report Auto-Send feature?<br>This feature allows you to automatically generate and send a summary of each team or department's budget status—<br>including usage, budget consumption rate, and forecasted overspend—via email on a daily or weekly basis.<br>‍</p><p id="""">📌 Key capabilities:</p><ul id=""""><li>Generate reports based on team- or department-level budgets</li><li>Include metrics like current usage, usage vs. budget ratio, and overspend forecasts</li><li>Support for multiple recipients per report</li><li>Flexible scheduling (daily, weekly)</li><li>Summary reports delivered in Excel format or as in-line tables</li></ul><p id="""">This helps teams monitor their budget performance independently, proactively manage cost overruns, and improve transparency and accountability in cloud financial operations.</p><p>‍</p>",,OpsNow FinOps Plus,budgets,opsnow-finops-plus,false,false,false,false,
Can I cancel the AutoSavings service at any time?,autosavings-cancellation-policy,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,681087801ed01efb3b36d09c,false,false,Tue Apr 29 2025 08:02:08 GMT+0000 (Coordinated Universal Time),Thu May 08 2025 01:44:22 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, you can cancel or stop using AutoSavings at any time without penalties or contract commitments.<br>You may request service cancellation through the OpsNow support team or console interface.</p><p id="""">Importantly, <strong id="""">no additional fees will be charged for past savings</strong> after cancellation.<br>Only the fees already billed before cancellation remain valid, ensuring a <strong id="""">risk-free and flexible experience</strong> for users.</p><p id="""">‍</p>",,AutoSavings,savings-billing,autosavings,false,false,false,false,
Can I check all resource usage by node?,can-i-check-all-resource-usage-by-node,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,68ef08b32848af9f8b79171e,false,false,Wed Oct 15 2025 02:36:35 GMT+0000 (Coordinated Universal Time),Thu Oct 16 2025 01:13:21 GMT+0000 (Coordinated Universal Time),Thu Oct 16 2025 01:14:54 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, by clicking a node, you can view all information for the selected node.<br>You can see the status of nodes assigned to the cluster (Critical, Warning, Good), visualize the status of virtual machines on a map (Good: Green, Warning: Orange, Critical: Red, Stopped: Gray), view the operational status of all assigned VMs, check VM resource usage in scatter plots, and access detailed node information including Storage Status, System Log, and Node Task History.</p><p id="""">‍</p>",,,analysis,prime,false,false,false,false,
Can I check the recent activity history of the infrastructure I manage?,can-i-check-the-recent-activity-history-of-the-infrastructure-i-manage,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,68ef0594de2f2de1d38c364b,false,false,Wed Oct 15 2025 02:23:16 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 09:05:25 GMT+0000 (Coordinated Universal Time),Wed Oct 15 2025 09:05:25 GMT+0000 (Coordinated Universal Time),"<p>Yes, you can view recent change activities through 'Recent Changes' in the 'Infrastructure Monitoring Dashboard'.</p>",,,monitoring,prime,false,false,false,false,
Can I check the resource usage of all resources within a single cluster?,can-i-check-the-resource-usage-of-all-resources-within-a-single-cluster,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,68ef088f7bf93109d4728ac4,false,false,Wed Oct 15 2025 02:35:59 GMT+0000 (Coordinated Universal Time),Thu Oct 16 2025 01:05:25 GMT+0000 (Coordinated Universal Time),Thu Oct 16 2025 01:14:54 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, by clicking on a cluster, you can view all information for the selected cluster.<br>You can check cluster status (Critical, Warning, Good), virtual machine status (Running, Stopped, Paused, Unknown), resource usage by cluster (CPU, Memory, Storage), detailed node information (Provider, Uptime, Hosted VM, CPU Usage, Memory Usage), and cluster log information.</p><p id="""">‍</p>",,,analysis,prime,false,false,false,false,
Can I compare or filter resource usage across clouds?,multicloud-usage-filtering,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,6818c6841db6afe5c4075f53,false,false,Mon May 05 2025 14:09:08 GMT+0000 (Coordinated Universal Time),Mon May 05 2025 14:09:08 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes, OpsNow FinOps Plus allows you to <strong id="""">easily filter and compare cloud resource usage</strong> across AWS, Azure, and Google Cloud (GCP).<br>The platform provides a <strong id="""">standardized table view</strong>, enabling you to analyze usage patterns regardless of the cloud vendor or service type.<br>‍</p><h3 id="""">✅ Key filtering criteria:</h3><ul id=""""><li><strong id="""">Region</strong>: e.g., Asia Pacific (Seoul), US East (N. Virginia), Europe West</li><li><strong id="""">Account / Subscription / Project</strong>: Filter by business unit or cloud account</li><li><strong id="""">Product type</strong>: EC2, VM, Disk, Load Balancer, etc.</li><li><strong id="""">Tags</strong>: Use metadata such as department, project, or owner for precise segmentation<br>‍</li></ul><h3 id="""">✅ Standardized multi-cloud comparison</h3><p id="""">OpsNow converts multi-cloud resource data into a unified structure.<br>This lets you <strong id="""">compare usage, status, and optimization opportunities side-by-side</strong>.</p><p id="""">Examples:</p><ul id=""""><li>Compare AWS EC2 and Azure VM instances on the same screen</li><li>Filter by region to see usage trends for VMs and storage</li><li>Identify over-provisioned resources using optimization flags like “Downsize”</li></ul><p id="""">With this visibility, you can <strong id="""">identify unused or inefficient cloud resources</strong>, analyze usage distribution by region or service, and make data-driven decisions to optimize cost.</p><p>‍</p>",,OpsNow FinOps Plus,resource-usage,opsnow-finops-plus,false,false,false,false,
Can I create a restricted role that allows access to only specific menus?,can-i-create-a-restricted-role-that-allows-access-to-only-specific-menus,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,681990fa86fb78d1e8ed0c7e,false,false,Tue May 06 2025 04:32:58 GMT+0000 (Coordinated Universal Time),Tue May 06 2025 04:32:58 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes. OpsNow allows you to create <strong id="""">custom roles</strong> that grant limited access to specific menus such as <strong id="""">Billing</strong>, <strong id="""">Resources</strong>, or <strong id="""">User Management</strong>.</p><ul id=""""><li>Assign <strong id="""">view-only or edit permissions</strong> for each menu based on the user's responsibilities</li><li>Customize access controls to fit complex team structures or external collaborator roles</li><li>Apply the <strong id="""">principle of least privilege</strong> to minimize exposure and reduce operational risk</li></ul><p id="""">📌 This is especially useful for organizations that manage cloud operations across <strong id="""">finance, security, and engineering teams</strong>, allowing each team to see and act only on what they need.</p><p>‍</p>",,Setting,user-organization,opsnow-finops-plus,false,false,false,false,
Can I create multiple organizations under one company account?,opsnow-multiple-organizations-management,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,6554182d9b9807aad3698658,false,false,Wed Nov 15 2023 01:00:29 GMT+0000 (Coordinated Universal Time),Thu May 08 2025 08:07:49 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes. In OpsNow, a single company account can create up to 10 organizations, each acting as an independent workspace for managing cloud cost analysis, resource usage monitoring, and governance policies.</p><p id="""">This feature is ideal for enterprises managing multiple departments or regional teams, as it enables you to separate cloud visibility and control by organizational unit.<br>Each organization allows you to assign user permissions independently, helping you enforce access control and limit visibility to only relevant data.</p><p id="""">✅ Use this feature to optimize multi-team operations, improve cost governance, and maintain security across your cloud environments.</p><p id="""">‍</p>",,Setting,user-organization,opsnow-finops-plus,false,false,true,true,
Can I customize the delivery frequency of policy reports?,customize-cloud-policy-report-schedule,6553f2f580e17f32ec1dd65b,6550ba985d0bbc1cfca82427,681b3efb5b49aa19461d25d0,false,false,Wed May 07 2025 11:07:39 GMT+0000 (Coordinated Universal Time),Wed May 07 2025 11:07:39 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 08:49:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Yes. OpsNow’s Policy Management allows you to schedule policy reports to be delivered automatically on your preferred frequency—daily, weekly, or monthly—based on the needs of each team or stakeholder.</p><p id="""">You can even assign different delivery schedules to different recipients. For instance, your security operations team might receive daily reports to respond to incidents quickly, while your executive or compliance teams might prefer weekly or monthly summaries for strategic oversight.</p><p id="""">Report scheduling is easily configured through the Settings menu, and any changes you make take effect immediately for the next scheduled report.</p><p id="""">📌 This flexibility helps your organization stay continuously informed about policy compliance, reduce manual tasks, and ensure that the right people receive the right information at the right time.<br>‍</p><h3 id="""">✅ Summary:</h3><ul id=""""><li>Set report delivery to daily, weekly, or monthly intervals</li><li>Customize delivery frequency by recipient role (e.g., DevOps, Security, Audit)</li><li>Adjust schedules easily through settings; changes apply instantly</li><li>Improve compliance visibility and reporting automation across teams</li></ul><p>‍</p>",,OpsNow FinOps Plus,policy-management,opsnow-finops-plus,false,false,false,false,
